delisting_date|s_insulation|exterior_space|hot_water|maintenance_plan|type_of_apartment|periodic_contribution|rental_agreement|hood_avg_property_value|facilities|living_area|insulation|cubic_volume|id|hood|balcony|city|agent_rul|title|number_of_bathrooms|acceptance|storage|availability|bathroom_facilities|CH_boiler|building_insurance|listed_sine|status|e_location|s_facilities|price|energy_label|hood_num_homes|reserve_fund_present|address|hood_num_occupants|external_storage|number_rooms|url|registration_with_kvk|region|heating|annual_meeting|specific|deposit|year_of_construction|type_of_property|rental_fees|located_at|number_of_layers
||20|CH boiler||Upstairs apartment (apartment)||Open-ended|204000||85||286|48344380-vechtstraat-100-iii-iv|Rijnbuurt|Roof terrace present and balcony present|Amsterdam|http://www.funda.nl/makelaars/amsterdam/70045-fris-vastgoed-management/|Apartment for rent: Vechtstraat 100 III-IV 1079 JN Amsterdam [funda]||In consultation||Apartment for rent||combination boiler, In ownership||2 weeks|Available|||1850.0||5140||Vechtstraat 100 III-IV 1079 JN Amsterdam|8635||3 rooms (2 bedrooms)|http://www.funda.nl/huur/amsterdam/appartement-48344380-vechtstraat-100-iii-iv/||Noord-Holland|CH boiler|||None|1906-1930|Resale property|€ 314 one-off|3rd level of residential structure|2 residential layers (stories)
|||CH boiler|Yes|Apartment with shared street entrance (apartment)|Yes (€ 345 per month)|Open-ended|215000|Mechanical ventilation, TV via cable, elevator, airconditioning and steam cabin|173|Completely insulated|500|49450065-arent-janszoon-ernststraat-226|Buitenveldert-West|French balcony present|Amsterdam|http://www.funda.nl/makelaars/amsterdam/24592-ramon-mossel-makelaardij-og-bv/|Apartment for rent: Arent Janszoon Ernststraat 226 1082 LT Amsterdam [funda]|1 bathroom and 1 separate toilet|In consultation|Storeroom|Apartment for rent|Jacuzzi, steam cabin, bath and shower|Gas-fired combination boiler, In ownership|Yes|April 23, 2015|Available|In center and in a residential neighborhood|Electricity|695000.0||7160|Yes|Arent Janszoon Ernststraat 226 1082 LT Amsterdam|12165|7|3 rooms (2 bedrooms)|http://www.funda.nl/huur/amsterdam/appartement-49450065-arent-janszoon-ernststraat-226/|Yes|Noord-Holland|CH boiler and floor insulation (partial)|Yes||None|2003|Resale property|None|4th level of residential structure|1 residential layer (story)
|||CH boiler||Upstairs apartment (apartment)||Open-ended|496000|Elevator and TV via cable|134||387|48353244-de-lairessestraat-176-e|Willemspark||Amsterdam|http://www.funda.nl/makelaars/amsterdam/24648-heeren-makelaars/|Apartment for rent: De Lairessestraat 176 E 1075 HM Amsterdam [funda]|1 bathroom and 1 separate toilet|In consultation||Apartment for rent|Bath and shower|Gas-fired combination boiler, In ownership||3 months|Available|||2100.0||2490||De Lairessestraat 176 E 1075 HM Amsterdam|5235||2 rooms (1 bedroom)|http://www.funda.nl/huur/amsterdam/appartement-48353244-de-lairessestraat-176-e/||Noord-Holland|CH boiler||Listed building (national monument)|€ 4,200 one-off|1906-1930|Resale property|None|4th level of residential structure|1 residential layer (story)
|||CH boiler||Upstairs apartment (apartment)||Open-ended|496000|Elevator and TV via cable|152||453|48353241-de-lairessestraat-176-g|Willemspark||Amsterdam|http://www.funda.nl/makelaars/amsterdam/24648-heeren-makelaars/|Apartment for rent: De Lairessestraat 176 G 1075 HM Amsterdam [funda]|2 bathrooms and 1 separate toilet|In consultation|Built-in|Apartment for rent|Bath, 2 showers and 2 toiletten|Gas-fired combination boiler, In ownership||3 months|Available|||2600.0||2490||De Lairessestraat 176 G 1075 HM Amsterdam|5235||4 rooms (3 bedrooms)|http://www.funda.nl/huur/amsterdam/appartement-48353241-de-lairessestraat-176-g/||Noord-Holland|CH boiler||Listed building (national monument)|€ 5,200 one-off|1906-1930|Resale property|None|5th level of residential structure|1 residential layer (story)
||8|CH boiler|Yes|Ground-floor apartment (apartment)|Yes (€ 50 per month)|Open-ended|256000|Mechanical ventilation and TV via cable|68|Double glazing and completely insulated|170|47086605-dinarpromenade-18-bg|Middelveldsche Akerpolder en Sloten|Balcony present|Amsterdam|http://www.funda.nl/makelaars/amsterdam/24640-jlg-real-estate/|Apartment for rent: Dinarpromenade 18 bg 1060 SH Amsterdam [funda]|1 bathroom|In consultation|Storeroom|Apartment for rent|Shower and toilet|Intergas (gas-fired combination boiler from 2013, In ownership)|Yes|"<span title=""langer dan 6 maanden"">6+ months"|Available|Alongside water, alongside park, alongside a quiet road, in a residential neighborhood and freestanding location||183500.0||5610|Yes|Dinarpromenade 18 bg 1060 SH Amsterdam|14995|3|3 rooms (1 bedroom)|http://www.funda.nl/huur/amsterdam/appartement-47086605-dinarpromenade-18-bg/|Yes|Noord-Holland|CH boiler|Yes||€ 2,400 one-off|1991-2000|Resale property|€ 300 one-off|Ground floor|2 residential layers (stories)
||16|CH boiler|No|Upstairs apartment (apartment)|No|Open-ended|405000|Elevator|270||860|48006844-herengracht-40-e|Grachtengordel-West||Amsterdam|http://www.funda.nl/makelaars/amsterdam/24131-de-graaf-en-groot-makelaars/|Apartment for rent: Herengracht 40 E 1015 BM Amsterdam [funda]|3 bathrooms and 2 separate toilets|In consultation|Storeroom|Apartment for rent|3 baths, 2 showers and 3 toiletten|Combiketel (gas-fired combination boiler, In ownership)|No|"<span title=""langer dan 6 maanden"">6+ months"|Available|Alongside water and in center||6750.0||4015|No|Herengracht 40 E 1015 BM Amsterdam|6805|8|7 rooms (4 bedrooms)|http://www.funda.nl/huur/amsterdam/appartement-48006844-herengracht-40-e/|No|Noord-Holland|CH boiler|No|Monumental building|€ 14,000 one-off|1790|Resale property|None|3rd level of residential structure|2 residential layers (stories)
||4|||Apartment with shared street entrance (apartment)||Open-ended|167000||85||234|48312817-hildsven-212|Buikslotermeer||Amsterdam|http://www.funda.nl/makelaars/amsterdam/24612-van-overbeek-amsterdam/|Apartment for rent: Hildsven 212 1025 MH Amsterdam [funda]||Available immediately||Apartment for rent||||6 weeks|Let subject to contract|||730.0||5385||Hildsven 212 1025 MH Amsterdam|11960||3 rooms (2 bedrooms)|http://www.funda.nl/huur/amsterdam/appartement-48312817-hildsven-212/||Noord-Holland||||€ 730 one-off|1992|Resale property|€ 175 one-off|10th level of residential structure|10 residential layers (stories)
|||CH boiler|Yes|Ground-floor apartment (apartment)|Yes (€ 105 per month)|Open-ended|237000||81||240|48314745-houtmanstraat-2-c|Haarlemmerbuurt||Amsterdam|http://www.funda.nl/makelaars/amsterdam/24648-heeren-makelaars/|Apartment for rent: Houtmanstraat 2 C 1013 MN Amsterdam [funda]||In consultation||Apartment for rent||Gas-fired combination boiler, In ownership|Yes|6 weeks|Available|||375000.0||4305|Yes|Houtmanstraat 2 C 1013 MN Amsterdam|8630||2 rooms (1 bedroom)|http://www.funda.nl/huur/amsterdam/appartement-48314745-houtmanstraat-2-c/|Yes|Noord-Holland|CH boiler|Yes||€ 3,500 one-off|1923|Resale property|€ 1,750 one-off|Ground floor|2 residential layers (stories)
||13|CH boiler|Yes|Maisonnette (apartment)|Yes (€ 166 per month)|Open-ended|173000|TV via cable|95|Double glazing|273|48328484-linnaeusstraat-71-a|Dapperbuurt|Roof terrace present|Amsterdam|http://www.funda.nl/makelaars/amsterdam/24155-heule-makelaardij/|Apartment for rent: Linnaeusstraat 71 A 1093 EJ Amsterdam [funda]|1 bathroom and 1 separate toilet|In consultation|Built-in|Apartment for rent|Shower and toilet|AWB (gas-fired combination boiler, In ownership)|Yes|5 weeks|Available|Alongside park and in a residential neighborhood|Electricity|369000.0||4535|Yes|Linnaeusstraat 71 A 1093 EJ Amsterdam|7970|6|3 rooms (2 bedrooms)|http://www.funda.nl/huur/amsterdam/appartement-48328484-linnaeusstraat-71-a/|Yes|Noord-Holland|CH boiler|Yes|Listed building (national monument)|€ 3,900 one-off|Before 1906|Resale property|€ 193 one-off|1st level of residential structure|1 residential layer (story)
||5|CH boiler|Yes|Upstairs apartment (apartment)|Yes ()|Open-ended|238000|Mechanical ventilation and TV via cable|85|Double glazing|300|49458634-nieuwe-nieuwstraat-43|Burgwallen-Nieuwe Zijde|Balcony present and French balcony present|Amsterdam|http://www.funda.nl/makelaars/amsterdam/24637-post-jr-makelaars-amsterdam/|Apartment for rent: Nieuwe Nieuwstraat 43 1012 NG Amsterdam [funda]|1 bathroom and 1 separate toilet|Available immediately|Storeroom|Apartment for rent|Bath, shower and toilet|Gas-fired combination boiler from 2008, In ownership|Yes|April 23, 2015|Available|||1850.0||2560|Yes|Nieuwe Nieuwstraat 43 1012 NG Amsterdam|4470|5|4 rooms (2 bedrooms)|http://www.funda.nl/huur/amsterdam/appartement-49458634-nieuwe-nieuwstraat-43/|Yes|Noord-Holland|CH boiler|Yes||€ 3,700 one-off|1991|Resale property|None|3rd level of residential structure|2 residential layers (stories)
